Id,District Name,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved
2017S004615    ,Sant Martí,Thursday,May,25,14,Afternoon,1,0,1,3
2017S007775    ,Sant Martí,Wednesday,September,20,12,Morning,1,0,1,2
2017S004484    ,Sant Martí,Saturday,May,20,21,Afternoon,1,0,1,2
2017S010680    ,Sant Martí,Tuesday,December,26,20,Afternoon,2,0,2,1
2017S005152    ,Sant Martí,Monday,June,12,15,Afternoon,1,0,1,1
2017S003932    ,Sant Martí,Wednesday,May,3,20,Afternoon,1,0,1,1
2017S010348    ,Sant Martí,Thursday,December,14,20,Afternoon,1,0,1,2
2017S000245    ,Sant Martí,Wednesday,January,11,7,Morning,1,0,1,2
2017S005695    ,Sant Martí,Friday,June,30,12,Morning,1,0,1,2
2017S007384    ,Sant Martí,Monday,September,4,16,Afternoon,0,1,1,2
2017S008080    ,Sant Martí,Saturday,September,30,19,Afternoon,1,0,1,2
2017S003439    ,Sant Martí,Monday,April,17,14,Afternoon,1,0,1,2
2017S002410    ,Sant Martí,Saturday,March,25,14,Afternoon,4,0,4,2
2017S009296    ,Sant Martí,Thursday,November,9,22,Night,1,0,1,1
2017S010102    ,Sant Martí,Monday,December,4,0,Night,2,0,2,2
2017S002158    ,Sant Martí,Friday,March,17,16,Afternoon,1,0,1,2
2017S007606    ,Sant Martí,Thursday,September,14,14,Afternoon,1,0,1,2
2017S007805    ,Sant Martí,Wednesday,September,20,20,Afternoon,0,1,1,2
2017S008987    ,Sant Martí,Monday,October,30,20,Afternoon,1,0,1,2
2017S002244    ,Sant Martí,Monday,March,20,19,Afternoon,1,0,1,2
2017S001012    ,Sant Martí,Tuesday,February,7,11,Morning,1,0,1,1
2017S009722    ,Sant Martí,Wednesday,November,22,20,Afternoon,1,0,1,2
2017S001895    ,Sant Martí,Wednesday,March,8,12,Morning,1,0,1,2
2017S008277    ,Sant Martí,Saturday,October,7,6,Morning,2,0,2,4
2017S004380    ,Sant Martí,Wednesday,May,17,13,Morning,0,0,0,2
2017S001233    ,Sant Martí,Tuesday,February,14,16,Afternoon,1,0,1,1
2017S007303    ,Sant Martí,Thursday,August,31,21,Afternoon,0,1,1,1
2017S007003    ,Sant Martí,Tuesday,August,15,18,Afternoon,1,0,1,2
2017S000893    ,Sant Martí,Thursday,February,2,9,Morning,1,0,1,2
