Date,Type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2011/1/1,NO2,20,19,17,18,16,16,20,24,23,17,17,16,17,20,20,21,22,26,29,28,27,29,21,16
2011/1/1,O3,24,24,24,21,25,24,20,17,19,26,26,28,30,27,27,26,24,21,18,16,17,13,18,22
2011/1/1,PM10,70,80,81,70,75,73,63,66,79,77,75,72,67,75,76,69,62,58,55,54,56,61,62,63
2011/1/1,PM2.5,16,25,23,20,18,24,27,22,25,22,19,22,26,28,20,16,18,21,22,21,20,19,24,23
2011/1/1,SO2,11,11,11,12,10,10,10,8.9,10,7.7,7.4,7.5,7.3,7.2,7,6.3,6.6,8.5,10,9,7.7,9.1,7.8,7.6
2011/1/2,NO2,14,14,13,9.4,11,11,16,20,20,18,18,19,17,18,19,23,27,31,28,25,24,25,28,21
2011/1/2,O3,23,23,24,27,26,26,23,20,23,26,26,28,31,30,28,24,20,15,15,11,19,18,14,19
2011/1/2,PM10,66,64,55,53,59,59,57,60,58,55,65,60,55,53,59,61,50,59,69,58,50,52,49,51
2011/1/2,PM2.5,21,29,29,30,23,25,34,28,20,16,20,24,26,22,23,23,25,29,35,28,20,26,24,18
2011/1/2,SO2,7.1,9.4,9.3,7.5,7.9,7.7,7.2,6.7,6.6,7.3,7,6.7,6,6.3,7,6.8,7.4,8.4,6.7,5.8,6.3,6.5,7.2,6.9
2011/1/3,NO2,20,19,19,26,27,27,27,32,29,25,27,29,30,35,30,32,32,34,33,32,32,27,19,17
2011/1/3,O3,18,18,18,7.5,7,3.5,15,15,13,17,14,11,10,8.4,12,11,11,9.4,12,13,14,17,24,29
2011/1/3,PM10,45,38,30,43,51,44,50,41,32,39,46,42,28,30,30,29,37,40,46,39,47,53,50,52
2011/1/3,PM2.5,13,7,15,20,25,27,16,25,16,4,12,14,11,18,14,2,4,20,29,25,27,34,25,20
2011/1/3,SO2,7.1,6.3,7.5,7.1,8.2,7.3,7,6.3,6.2,6.2,6.1,6.1,5.9,7.2,6.9,7.2,7.4,7.5,8.2,8.3,7.8,7.5,7.4,7.8
2011/1/4,NO2,14,12,22,23,17,16,23,34,36,35,35,29,25,27,28,32,35,37,37,32,26,22,18,13
2011/1/4,O3,31,31,20,14,22,26,18,10,8.3,11,11,14,17,15,13,11,9,6.8,8.1,13,17,21,23,26
2011/1/4,PM10,55,65,62,61,61,59,63,67,72,75,83,90,84,85,88,91,99,96,97,92,80,58,37,34
2011/1/4,PM2.5,27,36,43,31,31,36,34,38,40,35,42,48,45,42,44,50,49,54,55,43,35,21,17,19
2011/1/4,SO2,7.1,7.7,14,16,11,10,8,9.7,10,12,11,9.6,9.1,9.4,9.9,10,11,9.8,8.7,8.7,8.2,7.5,7.5,7.2
2011/1/5,NO2,11,8.2,9.5,9.2,14,20,28,37,39,42,40,36,34,32,34,36,45,44,37,29,31,32,29,25
2011/1/5,O3,28,31,30,30,23,16,13,7.6,7.3,6.9,12,16,15,19,17,17,8.8,4.6,7.5,14,13,11,13,9.7
2011/1/5,PM10,35,45,44,47,52,42,46,56,56,61,67,61,62,66,68,62,68,84,76,65,69,60,46,42
2011/1/5,PM2.5,20,24,23,17,16,32,36,27,29,34,35,28,26,23,21,32,34,27,30,32,23,20,19,18
2011/1/5,SO2,7.3,7.1,7.4,7.5,6.7,6.3,7.1,8.9,12,11,10,11,10,11,9.7,9.4,11,11,11,8.1,9,9.7,9.7,9.7
2011/1/6,NO2,23,21,17,14,14,16,22,26,30,37,45,42,37,33,34,38,39,38,33,30,31,32,24,20
2011/1/6,O3,16,19,22,26,26,23,18,9.2,6.6,4.8,4.1,4.2,6.8,9.1,7.9,5.8,6,6.4,9.5,13,13,15,21,25
2011/1/6,PM10,40,48,46,24,23,31,28,42,51,66,69,55,67,72,69,80,85,89,91,92,84,88,102,101
2011/1/6,PM2.5,16,21,21,16,20,12,4,9,23,38,38,32,32,36,43,45,56,67,61,58,49,55,54,46
2011/1/6,SO2,10,9.5,7.6,6.2,5.4,5.6,6.3,7.9,10,13,17,16,13,11,14,16,16,17,15,13,14,16,13,12
2011/1/7,NO2,18,18,17,16,16,18,31,36,36,39,38,29,34,29,33,36,38,42,42,37,31,31,26,18
2011/1/7,O3,26,24,25,26,26,22,13,8.9,8.4,6.7,8,15,11,12,8.9,8,5.8,4.6,2.9,6.9,11,12,15,23
2011/1/7,PM10,89,82,84,69,60,57,52,54,54,53,66,63,48,47,49,38,33,37,40,49,39,27,34,35
2011/1/7,PM2.5,57,43,20,28,33,22,21,23,25,24,23,24,22,21,23,20,16,11,9,11,17,15,9,8
2011/1/7,SO2,12,14,16,15,14,13,13,14,13,13,13,12,12,11,11,11,14,14,12,11,11,11,11,10
2011/1/8,NO2,16,12,12,21,17,15,24,34,33,30,23,21,23,25,25,27,32,36,38,37,39,38,37,30
2011/1/8,O3,25,29,29,18,20,25,18,9.3,11,16,24,26,26,24,22,19,14,10,8.2,7.6,4.3,3.3,4.3,7.5
2011/1/8,PM10,32,19,21,32,28,28,26,28,36,38,38,38,40,40,40,35,37,42,43,44,46,46,38,42
2011/1/8,PM2.5,6,4,9,17,12,3,0,10,10,12,16,8,5,10,8,10,14,9,8,17,16,13,22,18
2011/1/8,SO2,8.2,5.8,5.8,9.5,7.2,6.3,8.5,9.3,11,10,9.7,8.8,7.5,7.4,8.1,8,8.9,8.9,8.4,11,11,10,9.7,9.9
