Date,West Texas,Dubai,Brent Crude
3/29,60.14,68.39,68.38
3/28,59.24,67.3,66.99
3/27,59.34,67.12,67.1
3/26,59.82,67.35,67.55
3/25,58.66,67.19,67.66
3/22,58.82,66.92,66.91
3/21,59.93,67.64,68
3/20,60.07,68.3,68.46
3/19,59.07,67.6,67.29
3/18,59.04,67.33,67.07
3/15,58.46,67.23,66.42
3/14,58.54,67.34,66.13
3/13,58.22,67.87,66.4
3/12,56.84,67.12,65.63
3/11,56.74,67.15,65.65
3/8,55.72,66.05,64.46
3/7,56.55,66.36,65.03
3/6,56.17,66.12,64.85
3/5,56.5,66.49,64.14
3/4,56.55,65.53,64.25
3/1,55.71,65.12,63.69
2/28,57.16,66.12,65.33
2/27,56.87,66.48,65.52
2/26,55.35,65.56,64.85
2/25,55.29,64.87,63.89
2/22,56.98,67.25,66.81
2/21,56.9,67.18,66.75
2/20,56.85,67.27,66.98
2/19,56.07,66.17,66.08
2/18,55.53,66.29,66.31
2/15,55.53,66.26,66.03
2/14,54.35,65.07,64.63
2/13,53.79,64.05,63.27
2/12,53.09,63.06,62.87
2/11,52.38,61.59,61.49
2/8,52.7,62.15,61.72
2/7,52.63,61.64,61.28
2/6,53.89,62.7,62.26
2/5,53.64,62.18,61.65
2/4,54.52,62.8,62.67
2/1,55.24,62.75,62.57
1/31,53.79,62.1,62.51
1/30,54.13,61.63,61.55
1/29,53.02,60.98,61.02
1/28,51.74,59.68,59.93
1/25,53.48,61.29,61.69
1/24,52.84,60.7,61.22
1/23,52.39,60.41,61.02
1/22,52.54,60.82,61.3
1/21,53.56,61.99,62.7
1/18,53.55,62.01,62.17
1/17,51.78,60.42,60.24
1/16,52.03,60.18,60.09
1/15,51.75,59.63,59.15
1/14,50.26,58.33,57.75
1/11,51.39,59.49,59.07
1/10,52.37,60.14,60.49
1/9,52.14,60,60.13
1/8,49.53,57.49,57.54
1/7,48.22,56.26,56.37
1/4,47.71,55.57,55.86
1/3,46.87,54.68,54.26
1/2,46.26,53.26,52.83
